"Status","Pics","MLS #","Original Price","Price","Property Type","Structure Style","Address","Subdivsn or Commnty","Condo Complex","Condo Unit #","City","Area","BD","FB","HB","Lvg Area","ApxYrBlt","DOM","CDOM"
"CL","https://zimg.paragon.ice.com/ParagonImages/Property/PG/BCAR/361564/0/120/90/2890e3a868a9731a6a1ba996f03d1666/7/ea49f3b52bae6b4ddb76c3e864f22885/361564-1ff3957d-ffaa-4684-a58e-2fcc51480a31.JPG","361564","$425,000","$375,000","RD","Traditional","1424 W Fairway Drive","Island Wood",,,"Gulf Shores","Gulf Shores 1","3","2","0","2109","2005","102","102"
"CL","https://zimg.paragon.ice.com/ParagonImages/Property/PG/BCAR/367717/0/120/90/34ac2dd062bca3e5ceb10a3c5591660c/7/ed32f53d1f26c98c4cfc22f2e0767194/367717-71bc2b4c-5977-49df-89bf-b1846a3906ad.JPG","367717","$399,000","$375,000","RD","Craftsman","7121 Marble Court","Stonehaven",,,"Gulf Shores","Gulf Shores 2","4","2","0","1815","2023","31","31"
"CL","https://zimg.paragon.ice.com/ParagonImages/Property/PG/BCAR/379392/0/120/90/6ffac895e89f9b478d2770c1c1c9932c/7/ecf39a84e063b19ba60dc9e793a9b8d9/379392.JPG","379392","$390,000","$375,000","RD","Other-See Remarks","372 Thornhill Circle","Andhurst Walk",,,"Gulf Shores","Gulf Shores 2","3","2","0","1746","2016","14","14"
"CL","https://zimg.paragon.ice.com/ParagonImages/Property/PG/BCAR/383431/0/120/90/6a19e899ce587ac2dac1fe1ec0261c4d/7/1ad4e87106d90314e38f48aacb27e2b6/383431-85fad476-c0fc-47ba-a122-b4c446389c29.JPG","383431","$396,500","$375,000","RD","Craftsman","3820 Borman Loop","Aventura",,,"Gulf Shores","Gulf Shores 2","4","2","0","1948","2021","69","69"
"CL","https://zimg.paragon.ice.com/ParagonImages/Property/PG/BCAR/377894/0/120/90/4aa10fb53be84b447ca211c337e5119b/7/f639439ef8104998050cb0f809899749/377894-741573b7-cb07-44b3-b080-f0490452a065.JPG","377894","$445,000","$375,000","RD","Ranch","1930 Bent Oaks Lane","Laguna Park",,,"Gulf Shores","Gulf Shores 1","3","2","0","1530","1965","130","130"
"CL","https://zimg.paragon.ice.com/ParagonImages/Property/PG/BCAR/365195/0/120/90/5676c6246639762d8e29571bada15fd9/7/7cd67600245d3ae6087e45a07b338f79/365195-b0cc994e-6e78-4add-9d98-4a5f7e355977.JPG","365195","$399,500","$375,000","RD","Cottage","4136 Cartgate Drive","The Village at Craft Farms",,,"Gulf Shores","Gulf Shores 2","3","2","0","1579","2022","68","338"
"CL","https://zimg.paragon.ice.com/ParagonImages/Property/PG/BCAR/381665/0/120/90/9a53cac52862f3c8682bef342b3b7f40/7/3f5e386fb2b9f0b71715d71e291170cd/381665-c0035ef0-7ab5-48a8-9f4b-0f522660d3e9.JPG","381665","$395,000","$375,000","RD","Cottage","232 W 22nd Avenue","Cypress Park",,,"Gulf Shores","Gulf Shores 1","3","2","0","1494","1992","7","7"
"CL","https://zimg.paragon.ice.com/ParagonImages/Property/PG/BCAR/384328/0/120/90/be381abc6119ed6dec836e2798f07ebe/7/103040f6d6cec101b9a7ef8343a2be18/384328-1954f845-c8f9-44b7-8078-7e73cac3c8a0.JPG","384328","$389,000","$375,000","RD","Cottage","5781 State Highway 180",,"The Rookery III","6034","Gulf Shores","Fort Morgan","3","2","0","1288","2018","117","117"
"CL","https://zimg.paragon.ice.com/ParagonImages/Property/PG/BCAR/379495/0/120/90/46d1293388cdaf358ef7f2ab1b64067e/7/53fbcb6826d21bcfca90b49f526678bd/379495-1ea378a1-04e1-4f24-80c1-961585f95d2b.JPG","379495","$380,255","$376,302","RD","Craftsman","6126 Frigate Lane","The Court at Traditions",,,"Gulf Shores","Gulf Shores 2","3","2","0","1828","2025","43","43"
"CL","https://zimg.paragon.ice.com/ParagonImages/Property/PG/BCAR/382229/0/120/90/cc53865547a04fa9bad67c3eda67cac2/7/4c4206e5089e6462307f792a9373f0dc/382229-87fa1020-626d-4e40-abd3-64eee3e7f215.JPG","382229","$409,000","$377,000","RD","Traditional","3826 Borman Loop","Aventura",,,"Gulf Shores","Gulf Shores 2","4","2","0","1958","2020","141","141"
"CL","https://zimg.paragon.ice.com/ParagonImages/Property/PG/BCAR/380087/0/120/90/d2c033eedba889243ce4e52761a9b2be/7/c2a85f4fabb9d3bfcabf13710d7f39c9/380087.JPG","380087","$378,132","$377,832","RD","Traditional","154 Preston Way","Raley Farms",,,"Gulf Shores","Gulf Shores 2","3","2","0","1510","2025","19","19"
"CL","https://zimg.paragon.ice.com/ParagonImages/Property/PG/BCAR/382211/0/120/90/e3546952a5196e88bc1a2c4dbc4932ae/7/4066ffd3b2a11f77c59624cf86bdb845/382211.JPG","382211","$381,750","$378,000","RD","Traditional","138 Preston Way","Raley Farms",,,"Gulf Shores","Gulf Shores 2","3","2","0","1672","2025","0","0"
"CL","https://zimg.paragon.ice.com/ParagonImages/Property/PG/BCAR/379585/0/120/90/2a0a1fbb662fde35ccd8461cd3b27f7b/7/fd383f6777f04824e52c1bc53771589c/379585.JPG","379585","$382,750","$378,000","RD","Traditional","138 Preston Way","Raley Farms",,,"Gulf Shores","Gulf Shores 2","3","2","0","1672","2025","132","132"
"CL","https://zimg.paragon.ice.com/ParagonImages/Property/PG/BCAR/378460/0/120/90/1847886dac372223119c2cfc138371f4/7/660b327d4d558e28ee87f7b2cb8e87cf/378460-d355154a-40d4-41f2-8428-c5497df3241a.JPG","378460","$399,900","$378,000","RD","Traditional","5781 State Highway 180",,"The Rookery III","6006","Gulf Shores","Fort Morgan","3","2","0","1290","2009","133","133"
"CL","https://zimg.paragon.ice.com/ParagonImages/Property/PG/BCAR/355897/0/120/90/5859e06e4035b9c914c3130e28b4a05f/7/2fc1dbb1682677471665d8b0958909a3/355897.JPG","355897","$399,000","$378,000","RD","Traditional","7034 Marble Court","Stonehaven",,,"Gulf Shores","Gulf Shores 2","3","2","1","2033","2022","116","301"
"CL","https://zimg.paragon.ice.com/ParagonImages/Property/PG/BCAR/374475/0/120/90/e25da5d3b77f0a99154707964c462f52/7/a14f29a39ec5d341adb65dad93d2766f/374475-bd6f3a47-0ad6-4c9b-95bd-19c0df7fe47b.JPG","374475","$389,000","$379,000","RD","Traditional","181 Preston Way","Raley Farms",,,"Gulf Shores","Gulf Shores 2","4","2","0","1791","2023","74","74"
"CL","https://zimg.paragon.ice.com/ParagonImages/Property/PG/BCAR/389952/0/120/90/6e2160275f6bd9fa8d42767a7b715e23/7/2ec15acc1194f09623ec885fdba06b4a/389952-f10f0c20-9960-4252-99ad-2e0a6d06fdbd.JPG","389952","$379,000","$379,000","RD","Contemporary","7009 Stone Chase Lane","Wind Creek",,,"Gulf Shores","Gulf Shores 2","3","2","0","1847","2019","47","47"
"CL","https://zimg.paragon.ice.com/ParagonImages/Property/PG/BCAR/364882/0/120/90/e2ef9f1f6129b1b7b23ed11bf28b536f/7/f7918e4c0e581e1b32776d29041b6529/364882-dc2cc134-f6db-4c7d-a137-6a0662588c2b.JPG","364882","$389,000","$379,000","RD","Cottage","5781 State Highway 180",,"The Rookery III","4005","Gulf Shores","Fort Morgan","3","2","0","1290","2018","52","244"
"CL","https://zimg.paragon.ice.com/ParagonImages/Property/PG/BCAR/381182/0/120/90/ffe9dbe3c9385b412fc940d81945fc72/7/381ff5faa096934ab75b43827d0294a8/381182-8b749ea1-bf3a-4715-82bf-f6f7d3b34652.JPG","381182","$373,332","$379,332","RD","Traditional","134 Preston Way","Raley Farms",,,"Gulf Shores","Gulf Shores 2","3","2","0","1510","2025","170","170"
"CL","https://zimg.paragon.ice.com/ParagonImages/Property/PG/BCAR/387862/0/120/90/5a5f9561d8379e92fbb9b6b6c29bc076/7/4c0abc9ff4a8db1a5915d4ad794c8880/387862.JPG","387862","$383,000","$379,490","RD","Traditional","106 Preston Way","Raley Farms",,,"Gulf Shores","Gulf Shores 2","3","2","0","1672","2025","10","10"
"CL","https://zimg.paragon.ice.com/ParagonImages/Property/PG/BCAR/360782/0/120/90/d978de4206927d2916900c8e729bc4b4/7/cd7a6f8699e988ce88e8b92070a59c00/360782.JPG","360782","$390,161","$379,900","RD","Traditional","395 Preston Way","Raley Farms",,,"Gulf Shores","Gulf Shores 2","4","2","0","2047","2023","21","239"
"CL","https://zimg.paragon.ice.com/ParagonImages/Property/PG/BCAR/357296/0/120/90/174ac247b71505a40ee8fe5cd8e19f44/7/602b32a6c82abb290a42f1fc8b26ddbe/357296-14c30e5f-6050-44c3-8be8-7b92dbd11094.JPG","357296","$396,000","$380,000","RD","Craftsman","5988 Trey Lane","McNeill Place",,,"Gulf Shores","Gulf Shores 2","4","2","0","1867","2015","122","122"
"CL","https://zimg.paragon.ice.com/ParagonImages/Property/PG/BCAR/377798/0/120/90/4d8f60ac6bbb9895d4ec734859069a92/7/3bf4c01acf36bf5c8e0f89afa8b75d31/377798-b09e4db8-a040-41bc-b7d9-77f0f647a364.JPG","377798","$385,000","$380,000","RD","Cottage","5781 State Highway 180",,"The Rookery III","4006","Gulf Shores","Fort Morgan","3","2","0","1290","2021","34","34"
"CL","https://zimg.paragon.ice.com/ParagonImages/Property/PG/BCAR/379233/0/120/90/0836de539bfda98d0ca390ef5435c180/7/ac7c08ffaf8b67d39824b9139d09c822/379233-B7728FA4-D97C-4693-A285-24314E09B7BA.JPG","379233","$395,900","$380,000","RD","Cottage","4299 Montague Drive","The Village at Craft Farms",,,"Gulf Shores","Gulf Shores 2","3","2","0","1667","2022","91","147"
"CL","https://zimg.paragon.ice.com/ParagonImages/Property/PG/BCAR/363742/0/120/90/0de02b9cbf6160fe264afcaa38cb550f/7/7292bd33dac4bdef84f73a3fb7dfda0b/363742-cca60ee3-3a16-4421-837e-3c4afab34b98.JPG","363742","$409,900","$380,000","RD","Raised Beach","12475 Highway 180",,"Bay Gardens","39 individ","Gulf Shores","Fort Morgan","2","3","0","1125","2004","86","396"
"CL","https://zimg.paragon.ice.com/ParagonImages/Property/PG/BCAR/360443/0/120/90/b60b9cd3c2775f4eb18ec477716473d2/7/4f3fe0d541aee649e4d22d1f501133d7/360443-6f6add02-9f1a-4f19-b234-82eeedf4b0ed.JPG","360443","$394,500","$380,500","RD","Craftsman","7029 Stone Chase Lane","Wind Creek",,,"Gulf Shores","Gulf Shores 2","4","2","0","2182","2018","5","5"
"CL","https://zimg.paragon.ice.com/ParagonImages/Property/PG/BCAR/385607/0/120/90/80f24f221d75dc74c1fa99ec8dfe44eb/7/3878c83dfe68d30f7efdbb58a6d331d3/385607-af3cf19a-0b44-4a61-9119-8d1f307ca16f.JPG","385607","$380,000","$381,290","RD","Traditional","388 Parkerman Avenue","Raley Farms",,,"Gulf Shores","Gulf Shores 2","3","2","0","1672","2025","97","97"
"CL","https://zimg.paragon.ice.com/ParagonImages/Property/PG/BCAR/381857/0/120/90/53664330af1a1309a9532b78b0bca1ca/7/f104a7c7463f2218e4a31199dafbf122/381857.JPG","381857","$381,750","$381,750","RD","Traditional","126 Preston Way","Raley Farms",,,"Gulf Shores","Gulf Shores 2","3","2","0","1672","2025","0","0"
"CL","https://zimg.paragon.ice.com/ParagonImages/Property/PG/BCAR/370511/0/120/90/78dabf014e19596528c85d0bb1cec3e3/7/2e9710b94803b962b447fffc6f40a498/370511-1ea0277d-c02a-4420-baa9-e36506a9c300.JPG","370511","$398,000","$382,500","RD","Ranch","403 Gemini Street","Aventura",,,"Gulf Shores","Gulf Shores 2","4","2","0","1856","2022","21","21"
"CL","https://zimg.paragon.ice.com/ParagonImages/Property/PG/BCAR/375228/0/120/90/d6ff5ed808d4eaf5796253bcf8c87ba1/7/ecb592aba7018c853f9f5ab48a43567c/375228.JPG","375228","$380,250","$382,750","RD","Traditional","170 Preston Way","Raley Farms",,,"Gulf Shores","Gulf Shores 2","3","2","0","1672","2025","31","31"
"CL","https://zimg.paragon.ice.com/ParagonImages/Property/PG/BCAR/382206/0/120/90/b1f10946d12931e47d7588ada9f1e5cc/7/67736468d4f9644ce234603575aec2e7/382206.JPG","382206","$389,400","$382,804","RD","Traditional","384 Parkerman Avenue","Raley Farms",,,"Gulf Shores","Gulf Shores 2","4","2","0","1835","2025","35","35"
"CL","https://zimg.paragon.ice.com/ParagonImages/Property/PG/BCAR/377875/0/120/90/d22e0227b165cabb5e93dea50450036e/7/e431473074c951e76d66aff517be8c95/377875.JPG","377875","$382,750","$383,000","RD","Traditional","150 Preston Way","Raley Farms",,,"Gulf Shores","Gulf Shores 2","3","2","0","1672","2025","10","10"
"CL","https://zimg.paragon.ice.com/ParagonImages/Property/PG/BCAR/381907/0/120/90/e0db2148641d8e31359acd1d388332ec/7/524bc955806ed2c03ff4448e919bfa56/381907-5404ef45-0433-42d3-800f-8e2d14d97b39.JPG","381907","$386,500","$383,500","RD","Raised Beach","2410 Choctaw Road","Fort Morgan Pines",,,"Gulf Shores","Fort Morgan","2","2","0","960","1962","50","50"
"CL","https://zimg.paragon.ice.com/ParagonImages/Property/PG/BCAR/388655/0/120/90/2ce4b65501af2dc05b28ceb55b520eb8/7/97b537429554349f0a8cf11eaeba9d9b/388655-842AFDE5-31C1-4752-8BA2-39882881F47C.JPG","388655","$389,500","$384,000","RD","Cottage","5781 State Highway 180",,"The Rookery III","6010","Gulf Shores","Fort Morgan","3","2","0","1290","2016","41","117"
"CL","https://zimg.paragon.ice.com/ParagonImages/Property/PG/BCAR/371371/0/120/90/0093cb018b2c5f7237f48acd7d32a3fa/7/8bdc1815c0a0d405e8c27b63e66ca18f/371371-32e85a61-7088-4428-94b9-836d9f86c8fd.JPG","371371","$389,000","$384,000","RD","Craftsman","390 Gemini Street","Aventura",,,"Gulf Shores","Gulf Shores 2","4","2","0","1768","2022","76","76"
"CL","https://zimg.paragon.ice.com/ParagonImages/Property/PG/BCAR/351615/0/120/90/ab229f423d622f9cc0af999711861ef4/8/80470eb01ad7bc33154c5fd507dc5a00/351615.JPG","351615","$373,205","$384,455","RD","Traditional","383 Preston Way","Raley Farms",,,"Gulf Shores","Gulf Shores 2","4","2","0","1927","2023","198","198"
"CL","https://zimg.paragon.ice.com/ParagonImages/Property/PG/BCAR/369328/0/120/90/4d2303633169e10a4a09b9ec000ed1e1/7/6e977e0ca4cfcdc1f6a477a1cbc22309/369328-93b6e83a-9dbe-41e4-b9dd-b0dadb975011.JPG","369328","$398,000","$385,000","RD","Craftsman","382 Gemini Street","Aventura",,,"Gulf Shores","Gulf Shores 2","4","2","0","1856","2022","51","51"
"CL","https://zimg.paragon.ice.com/ParagonImages/Property/PG/BCAR/371923/0/120/90/3f7f33197fe2dad8ec35f07997b4c276/7/0aad513e690dc2d95253939622e69d6b/371923-8efb3d29-2baf-45d8-ac93-a0afbfd532ef.JPG","371923","$449,900","$385,000","RD","Ranch","1479 W Fairway Drive","Island Wood",,,"Gulf Shores","Gulf Shores 1","4","2","0","1903","2006","66","66"
"CL","https://zimg.paragon.ice.com/ParagonImages/Property/PG/BCAR/376494/0/120/90/55bc1b81dcc56b3a895b17654787a120/7/9e9c1722aa096e8ed857234cca0d4296/376494-83c750ab-c934-464a-bcd9-79da20d43944.JPG","376494","$420,000","$385,000","RD","Single Story","318 W 22nd Avenue","Cypress Park",,,"Gulf Shores","Gulf Shores 1","3","2","0","1642","1994","169","169"
"CL","https://zimg.paragon.ice.com/ParagonImages/Property/PG/BCAR/385103/0/120/90/8410da8c0834d0cc2ae4aa2b18071688/7/323135e2ab7754a89098953b7f9ed558/385103-d12746f8-91d3-46b8-bb0d-f0bee15c07b0.JPG","385103","$427,800","$385,000","RD","Traditional","630 Pinehurst Drive","Craft Farms",,,"Gulf Shores","Gulf Shores 2","3","2","0","1774","2002","195","195"
"CL","https://zimg.paragon.ice.com/ParagonImages/Property/PG/BCAR/378176/0/120/90/d0e87227744b8afbcac3aa503af20e18/7/632aaed0331f2042adb3447e0b747e41/378176-122add5a-1b4d-4145-9f0f-74c10e5edb09.JPG","378176","$395,000","$385,000","RD","Contemporary","6110 Cobblestone Court","Andhurst Walk",,,"Gulf Shores","Gulf Shores 2","3","2","0","1828","2017","2","2"
"CL","https://zimg.paragon.ice.com/ParagonImages/Property/PG/BCAR/384058/0/120/90/37d287836a6292c07f2258d5d032e306/7/e79de7b39faa57e816a487441b8e7df5/384058-faeba87c-0ce4-44c7-9916-7856058624eb.JPG","384058","$435,000","$385,000","RD","Other-See Remarks","6594 George Street","River Manor",,,"Gulf Shores","Gulf Shores 2","2","2","0","686","2016","154","519"
"CL","https://zimg.paragon.ice.com/ParagonImages/Property/PG/BCAR/384906/0/120/90/b851e222be6a4b9ecc0f45d566951918/7/bc7d3a32bbea34f6e6b5588f1f1d3d1d/384906-a9463340-e274-465f-8fea-12b80a6e97a2.JPG","384906","$429,000","$385,000","RD","Craftsman","3808 Borman Court","Aventura",,,"Gulf Shores","Gulf Shores 2","5","3","0","2190","2021","132","132"
"CL","https://zimg.paragon.ice.com/ParagonImages/Property/PG/BCAR/363308/0/120/90/966cf7060069eff0b7dcb3ea41196439/7/c1ef828e90e1c37ad63efa99fe4bc0a2/363308-85c929e8-8724-4a85-8c33-a0a5ce06e635.JPG","363308","$395,000","$385,000","RD","Traditional","463 Gemini Street","Aventura",,,"Gulf Shores","Gulf Shores 2","4","2","0","1856","2022","109","109"
"CL","https://zimg.paragon.ice.com/ParagonImages/Property/PG/BCAR/389561/0/120/90/f05bde29cbe78dd43da185d962873d59/7/94311276fb9821100af60af3a5767dc1/389561-68900214-0534-4428-be3c-c199452a1a43.JPG","389561","$470,000","$385,000","RD","Raised Beach","498 E 2nd Avenue","Gulf View",,,"Gulf Shores","Gulf Shores 1","3","2","0","1314","2003","52","52"
"CL","https://zimg.paragon.ice.com/ParagonImages/Property/PG/BCAR/388029/0/120/90/894acec4ed838135c93f578f0724db05/7/b7cc84524859892a044d9e34a480a17b/388029-40fd3860-54a9-4fe6-95d1-c7cb327d400d.JPG","388029","$394,900","$385,000","RD","Cottage","4187 Montague Drive","The Village at Craft Farms",,,"Gulf Shores","Gulf Shores 2","3","2","0","1621","2023","63","63"
"CL","https://zimg.paragon.ice.com/ParagonImages/Property/PG/BCAR/372271/0/120/90/0ea8adc4d60f9b0d613cb32958a39298/7/575189504ab864bce117ccfedc26b41d/372271.JPG","372271","$387,304","$385,104","RD","Traditional","122 Preston Way","Raley Farms",,,"Gulf Shores","Gulf Shores 2","4","2","0","1835","2025","0","0"
"CL","https://zimg.paragon.ice.com/ParagonImages/Property/PG/BCAR/378208/0/120/90/cfc6308ba495076efd981382b4da29c5/7/c0dd6c96693b39905ad4ae31e06ae3ce/378208.JPG","378208","$387,400","$385,400","RD","Traditional","146 Preston Way","Raley Farms",,,"Gulf Shores","Gulf Shores 2","4","2","0","1835","2025","34","34"
"CL","https://zimg.paragon.ice.com/ParagonImages/Property/PG/BCAR/377262/0/120/90/42fdee94082246ba93ff4875582ee2f9/7/b7cb0a2d926c1c15b598207c3ef53eb2/377262.JPG","377262","$385,900","$385,420","RD","Traditional","387 Preston Way","Raley Farms",,,"Gulf Shores","Gulf Shores 2","4","2","0","2091","2025","0","0"
"CL","https://zimg.paragon.ice.com/ParagonImages/Property/PG/BCAR/389316/0/120/90/1f6e7247e2890837efe94eaa22cf2311/7/da3d27fe4e23081f1e62e0250f273fda/389316.JPG","389316","$391,000","$385,490","RD","Traditional","456 Parkerman Avenue","Raley Farms",,,"Gulf Shores","Gulf Shores 2","3","2","0","1672","2025","48","48"
"CL","https://zimg.paragon.ice.com/ParagonImages/Property/PG/BCAR/388216/0/120/90/0ab08f58bd27842f95656d338c73fea3/7/1ac5b5f32a8bd3cab120ebefbe4d430b/388216-9bcb3c6e-b414-4f7f-8e19-11353414e2ed.JPG","388216","$388,490","$386,385","RD","Traditional","448 Parkerman Avenue","Raley Farms",,,"Gulf Shores","Gulf Shores 2","3","2","0","1672","2025","0","0"
"CL","https://zimg.paragon.ice.com/ParagonImages/Property/PG/BCAR/369996/0/120/90/57a3ec7c3f5915a7575e2dca7cb00e1e/7/72815b6a1257d2a6579c642b54ee3825/369996-75d17445-0ce2-48fb-902a-7fdcea3f2d01.JPG","369996","$389,900","$387,000","RD","Craftsman","4155 Cartgate Drive","The Village at Craft Farms",,,"Gulf Shores","Gulf Shores 2","3","2","0","1688","2022","2","2"
"CL","https://zimg.paragon.ice.com/ParagonImages/Property/PG/BCAR/382835/0/120/90/1b7be647b70106157e1c81bc5f029a25/7/e3cb60487e4b129d5ff389653f2c422d/382835.JPG","382835","$385,604","$389,104","RD","Traditional","392 Parkerman Avenue","Raley Farms",,,"Gulf Shores","Gulf Shores 2","4","2","0","1835","2025","25","25"
"CL","https://zimg.paragon.ice.com/ParagonImages/Property/PG/BCAR/387742/0/120/90/79206b7ca9aaf4924c42d0beb516c5c3/7/4e2ae513e35ce7858013a902e9ba8412/387742.JPG","387742","$395,094","$389,104","RD","Traditional","392 Parkerman Avenue","Raley Farms",,,"Gulf Shores","Gulf Shores 2","4","2","0","1835","2025","0","0"
"CL","https://zimg.paragon.ice.com/ParagonImages/Property/PG/BCAR/372265/0/120/90/5afb1c16e7490cb6405d357c4cb1f008/7/98bae63073cd919fc2f68b2739432499/372265.JPG","372265","$387,304","$389,604","RD","Traditional","162 Preston Way","Raley Farms",,,"Gulf Shores","Gulf Shores 2","4","2","0","1835","2025","21","21"
"CL","https://zimg.paragon.ice.com/ParagonImages/Property/PG/BCAR/381183/0/120/90/bd2d20c2dbc19a0508550f29fdb67440/7/d144690f748ce856fe252a15d87fd37a/381183.JPG","381183","$389,604","$389,604","RD","Traditional","142 Preston Way","Raley Farms",,,"Gulf Shores","Gulf Shores 2","4","2","0","1835","2025","19","19"
"CL","https://zimg.paragon.ice.com/ParagonImages/Property/PG/BCAR/373505/0/120/90/0f40861b270cb29f7e3a3aa10c753293/7/2fdf0c9b318b010f55d88c611d6ac00f/373505-094D7A5D-BA82-414F-A30C-637F45D5B3CE.JPG","373505","$444,000","$390,000","RD","Traditional","644 Saint Andrews Drive","Craft Farms",,,"Gulf Shores","Gulf Shores 2","3","2","1","2270","1988","70","246"
"CL","https://zimg.paragon.ice.com/ParagonImages/Property/PG/BCAR/361348/0/120/90/fb13911f46c5ccbdc5eab6dc7d84f424/7/d24084c606b41ad2949ea56d9906b4d5/361348-131e87a4-dfa8-422a-b936-12d2b97b2606.JPG","361348","$424,900","$390,000","RD","Single Story","1500 Pineridge Drive","Gulf Shores Golf Club Estates",,,"Gulf Shores","Gulf Shores 1","3","2","0","1661","1975","33","33"
"CL","https://zimg.paragon.ice.com/ParagonImages/Property/PG/BCAR/375346/0/120/90/53f0138ba33676cfc1d28c026e390d9f/7/ca1ae2e10c47c3bfd6bee0437188b27f/375346-ea05652e-506a-4326-9ff0-208519bd7301.JPG","375346","$419,000","$390,000","RD","Craftsman","363 Preston Way","Raley Farms",,,"Gulf Shores","Gulf Shores 2","4","2","0","2141","2022","29","29"
"CL","https://zimg.paragon.ice.com/ParagonImages/Property/PG/BCAR/358775/0/120/90/5e272459927041d1855933f66569ad4f/7/64be989c32c27dfdbfb781b4be67d555/358775-a8838773-7d38-4c06-86a7-b96a30dc63e3.JPG","358775","$422,000","$390,000","RD","Cottage","5781 State Highway 180",,"The Rookery III","6024","Gulf Shores","Fort Morgan","3","2","0","1290","2018","114","114"
"CL","https://zimg.paragon.ice.com/ParagonImages/Property/PG/BCAR/378193/0/120/90/2f3cbd6fe57d211f204037341705bea9/7/4d4e98dc49333440607f968f0daf254f/378193-26420f5a-ce2e-43a6-b19a-385ff4d64746.JPG","378193","$431,000","$390,000","RD","Traditional","7032 Abigail Street","Raley Farms",,,"Gulf Shores","Gulf Shores 2","4","2","0","2289","2023","45","45"
"CL","https://zimg.paragon.ice.com/ParagonImages/Property/PG/BCAR/374811/0/120/90/3a5e4a52cee0e2ee0ec160c51d512f76/7/1d1accb4d4ec7db8ed09d77a40fd7db9/374811-7C4757FD-0AB6-4341-94CD-01DCA55CA7BF.JPG","374811","$419,000","$390,000","RD","Cottage","5781 State Highway 180",,"The Rookery III","6014","Gulf Shores","Fort Morgan","3","2","0","1288","2017","386","525"
"CL","https://zimg.paragon.ice.com/ParagonImages/Property/PG/BCAR/358551/0/120/90/23e7b38318edaf6c2b1df7b9aaf53b11/7/483e10c5e2dd8400523938ac2cc3b6e4/358551-fae6899b-b8c8-4865-a998-7d759c4a010a.JPG","358551","$415,000","$390,000","RD","Craftsman","6037 Andhurst Drive","Andhurst Walk",,,"Gulf Shores","Gulf Shores 2","3","2","0","2032","2015","66","66"
"CL","https://zimg.paragon.ice.com/ParagonImages/Property/PG/BCAR/381717/0/120/90/d53e4fe1e826bd127eec1b302cc9ab40/7/e2b095e65ea17aaf20c098b828392dd8/381717-235bef26-0503-4946-a4d3-9615bcd6371b.JPG","381717","$425,000","$390,000","RD","Cottage","4263 Montague Drive","The Village at Craft Farms",,,"Gulf Shores","Gulf Shores 2","3","2","0","1672","2022","140","140"
"CL","https://zimg.paragon.ice.com/ParagonImages/Property/PG/BCAR/376811/0/120/90/f0a88332d9c2abff726424c367fddaf9/7/4bbc0ae934ab155effbe528445e3499b/376811-62da4146-716f-4571-9265-6483137711c1.JPG","376811","$449,000","$390,000","RD","Single Story","773 Wedgewood Drive","Island Wood",,,"Gulf Shores","Gulf Shores 1","3","2","0","1900","2006","334","334"
"CL","https://zimg.paragon.ice.com/ParagonImages/Property/PG/BCAR/386614/0/120/90/ef095cf21b97108f86db8c6e978d6159/7/e7cf0f0ab4041dfbbc54db5902a5d671/386614-b995ef38-3dad-4083-964b-905da15bc353.JPG","386614","$399,000","$390,000","RD","Cottage","4134 Montague Drive","The Village at Craft Farms",,,"Gulf Shores","Gulf Shores 2","3","2","0","1566","2023","47","47"
"CL","https://zimg.paragon.ice.com/ParagonImages/Property/PG/BCAR/362453/0/120/90/5ca3122a3704bafac5698465eff2d0bc/7/4695df5e14783aaa02da6eae9f036d03/362453-7bb27366-7eae-4766-a9a4-dc6bd4e56faf.JPG","362453","$417,000","$390,000","RD","Cottage","5781 State Highway 180",,"The Rookery III","7012","Gulf Shores","Gulf Shores 2","3","2","0","1290","2019","56","238"
"CL","https://zimg.paragon.ice.com/ParagonImages/Property/PG/BCAR/344293/0/120/90/76a3acb1ed13277a9537319a4b7df74d/8/76a1b6e118684d039f883b3b9f2552c0/344293.JPG","344293","$429,829","$390,000","RD","Craftsman","7032 Stone Chase Lane","Wind Creek",,,"Gulf Shores","Gulf Shores 2","4","2","0","2056","2023","396","396"
"CL","https://zimg.paragon.ice.com/ParagonImages/Property/PG/BCAR/378839/0/120/90/73ecb761d2a588b64acad86fa755063d/7/5291eec95b065e06519950c634aa0b1a/378839-a8b5ce6d-cee1-400b-9d21-616696b59f70.JPG","378839","$415,000","$390,000","RD","Craftsman","423 Gemini Street","Aventura",,,"Gulf Shores","Gulf Shores 2","3","2","0","1706","2022","197","197"
"CL","https://zimg.paragon.ice.com/ParagonImages/Property/PG/BCAR/363273/0/120/90/b75759b8ba53a48ec26aa3b1267688f1/7/2080140b45b36675e86c75e890cd1ab9/363273-7fc5edb3-371e-4b75-b500-74c596fa417d.JPG","363273","$394,900","$390,000","RD","Condo","5781 State Highway 180",,"The Rookery III","5008","Gulf Shores","Fort Morgan","3","2","0","1290","2014","126","126"
"CL","https://zimg.paragon.ice.com/ParagonImages/Property/PG/BCAR/382947/0/120/90/d61c14262696b47d56c5d1d4d740c14b/7/92c0d9b9dad66aca8a36da3d3ad317ba/382947.JPG","382947","$391,104","$390,554","RD","Traditional","130 Preston Way","Raley Farms",,,"Gulf Shores","Gulf Shores 2","4","2","0","1835","2025","3","3"
